Sharpe,Sortino,CAGR,Calmar,MaxDrawdown,TotalReturn,Trades,ticker,method,seed,fold
1.9064372152137206,3.496450897593255,0.764525909593107,12.32546546100989,-0.06202815723362267,0.28279959999596094,,AAPL,bh,,
1.48505619115641,2.3833168453260427,0.5771483799785107,5.5790839199770605,-0.10344859268237781,0.20494786518968122,,AAPL,rsi,,
-2.1760519169521024,-2.86568423909423,-0.39919480934811724,-1.2461785325283024,-0.3203351678175783,-0.2790237684118878,,AAPL,dqn,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,,AAPL,dqn,1.0,1.0
2.1659126812426597,4.0232829456560575,0.5629315050781898,8.60481945847896,-0.06542048997012855,0.334241841396238,,AAPL,dqn,2.0,1.0
1.668621426703015,,0.21224422567899914,212.24422567897773,-0.0010000000000001009,0.10920052592384688,,AAPL,q_learning,,
0.0,0.0,0.0,0.0,0.0,0.0,,AAPL,ppo,0.0,1.0
3.336970481383604,8.481689943732615,1.0022379304865576,13.614983359379279,-0.07361286488801487,0.5318940095769604,,AAPL,ppo,1.0,1.0
-1.5080953832861854,-1.3809056133321973,-0.25113925283223815,-1.4958022552762342,-0.16789602499018796,-0.14895124416170513,,AAPL,ppo,2.0,1.0
-0.16198175264321363,-0.2983249981142909,0.03940830283557761,0.282881461080985,-0.13931030575487435,-0.0333806230674184,,MSFT,bh,,
0.1843360968243777,0.2564355348402147,0.12414803297121746,1.3725857480898447,-0.09044828940121791,0.0098057751597318,,MSFT,rsi,,
-0.2367185378408972,-0.4331077958005392,-0.05906075965473401,-0.42395111642820876,-0.13931030575487413,-0.042570516063793695,,MSFT,dqn,0.0,1.0
-0.2675877645942618,-0.4336339233782376,-0.09377717949353226,-0.5194086934595549,-0.18054603373871805,-0.04632924312170317,,MSFT,dqn,1.0,1.0
-0.2367185378408972,-0.4331077958005392,-0.05906075965473401,-0.42395111642820876,-0.13931030575487413,-0.042570516063793695,,MSFT,dqn,2.0,1.0
-0.1604304692498491,-0.20362175386090403,0.06296886613899044,0.5905986923480874,-0.1066187022674236,-0.023404001070702396,,MSFT,q_learning,,
0.0,0.0,0.0,0.0,0.0,0.0,,MSFT,ppo,0.0,1.0
-0.1900443598431633,-0.29976880462752153,-0.07781197319344801,-0.36517333720536443,-0.2130822961745657,-0.03699559293639709,,MSFT,ppo,1.0,1.0
0.22107315381336862,0.3494965658069067,0.012679605817329298,0.08214218296220129,-0.15436168555642077,0.01461179874495655,,MSFT,ppo,2.0,1.0
1.5645832899746628,2.1531806706591476,0.29611686214397026,6.121161206261464,-0.048375929364687556,0.1201416110816067,,SPY,bh,,
1.8710249858944115,1.7535026073232391,0.23763957111486556,8.557938460057116,-0.02776831969802217,0.0916695945886421,,SPY,rsi,,
1.3335913523883958,1.9815451771510746,0.225607646941266,4.663634371558979,-0.048375929364687514,0.1026438615517482,,SPY,dqn,0.0,1.0
0.5840635594561742,0.8673654894584697,0.10603929875321705,1.8497442759872331,-0.057326464057645195,0.041292731619714695,,SPY,dqn,1.0,1.0
0.9555474112992195,0.7788855835124979,0.07981501054839013,1.6922066630969343,-0.04716623110460953,0.04375527104357291,,SPY,dqn,2.0,1.0
2.0604163368817994,1.9257154068249662,0.22762368438842362,5.377412754421646,-0.04232959134506779,0.11675579865438923,,SPY,q_learning,,
0.0,0.0,0.0,0.0,0.0,0.0,,SPY,ppo,0.0,1.0
1.3335913523883958,1.9815451771510746,0.225607646941266,4.663634371558979,-0.048375929364687514,0.1026438615517482,,SPY,ppo,1.0,1.0
-1.1860354170104623,-1.8740791823543654,-0.17733960107995272,-1.1570631443343955,-0.1532670035756501,-0.09093532403883686,,SPY,ppo,2.0,1.0
